fromStation,fromNode,toStation,toNode,cruisedistance,vtoldistance
31,uam_st_31_fa,42,uam_st_42_fa,33878.97668976712,1200.0
31,uam_st_31_fa,36,uam_st_36_fa,32648.383666842332,1200.0
31,uam_st_31_fa,61,uam_st_61_fa,58662.15161127857,1200.0
31,uam_st_31_fa,0,uam_st_0_fa,36680.79401146105,1200.0
31,uam_st_31_fa,46,uam_st_46_fa,29044.83830087005,1200.0
31,uam_st_31_fa,4,uam_st_4_fa,29805.974000682083,1200.0
31,uam_st_31_fa,69,uam_st_69_fa,74093.97191498472,1200.0
31,uam_st_31_fa,13,uam_st_13_fa,49715.048111235614,1200.0
31,uam_st_31_fa,28,uam_st_28_fa,67723.34210258922,1200.0
31,uam_st_31_fa,30,uam_st_30_fa,27305.366476809224,1200.0
31,uam_st_31_fa,49,uam_st_49_fa,35136.15082027524,1200.0
31,uam_st_31_fa,51,uam_st_51_fa,39639.30717384461,1200.0
31,uam_st_31_fa,55,uam_st_55_fa,55402.34341094312,1200.0
31,uam_st_31_fa,72,uam_st_72_fa,35928.352914154784,1200.0
31,uam_st_31_fa,59,uam_st_59_fa,62085.335622112194,1200.0
31,uam_st_31_fa,24,uam_st_24_fa,27614.390364825307,1200.0
31,uam_st_31_fa,20,uam_st_20_fa,40009.80972801851,1200.0
31,uam_st_31_fa,41,uam_st_41_fa,47260.34123227031,1200.0
31,uam_st_31_fa,14,uam_st_14_fa,54608.84680815722,1200.0
31,uam_st_31_fa,1,uam_st_1_fa,36776.0972660072,1200.0
31,uam_st_31_fa,62,uam_st_62_fa,43548.425676751365,1200.0
31,uam_st_31_fa,18,uam_st_18_fa,53146.16962005204,1200.0
31,uam_st_31_fa,45,uam_st_45_fa,15932.985570507728,1200.0
31,uam_st_31_fa,66,uam_st_66_fa,88780.35845840994,1200.0
31,uam_st_31_fa,39,uam_st_39_fa,70039.01292267413,1200.0
31,uam_st_31_fa,10,uam_st_10_fa,13037.213337131185,1200.0
31,uam_st_31_fa,35,uam_st_35_fa,40624.39234613648,1200.0
31,uam_st_31_fa,5,uam_st_5_fa,34504.33827890152,1200.0
25,uam_st_25_fa,9,uam_st_9_fa,54097.54436395868,1200.0
25,uam_st_25_fa,31,uam_st_31_fa,41008.145125250565,1200.0
25,uam_st_25_fa,50,uam_st_50_fa,73213.1576898253,1200.0
25,uam_st_25_fa,29,uam_st_29_fa,34001.47349939681,1200.0
25,uam_st_25_fa,48,uam_st_48_fa,53233.0649094558,1200.0
25,uam_st_25_fa,54,uam_st_54_fa,97943.65088655321,1200.0
25,uam_st_25_fa,73,uam_st_73_fa,56043.09568140253,1200.0
25,uam_st_25_fa,58,uam_st_58_fa,111011.1856404467,1200.0
25,uam_st_25_fa,60,uam_st_60_fa,79318.78198535164,1200.0
25,uam_st_25_fa,21,uam_st_21_fa,28141.6129330749,1200.0
25,uam_st_25_fa,15,uam_st_15_fa,72190.44265901651,1200.0
25,uam_st_25_fa,40,uam_st_40_fa,95350.32096327504,1200.0
25,uam_st_25_fa,19,uam_st_19_fa,60390.61423361059,1200.0
25,uam_st_25_fa,44,uam_st_44_fa,69578.32972100256,1200.0
25,uam_st_25_fa,67,uam_st_67_fa,88026.53743720785,1200.0
25,uam_st_25_fa,2,uam_st_2_fa,64225.88460596583,1200.0
25,uam_st_25_fa,70,uam_st_70_fa,112843.38470997036,1200.0
25,uam_st_25_fa,38,uam_st_38_fa,101832.75173865566,1200.0
25,uam_st_25_fa,63,uam_st_63_fa,68947.52835039677,1200.0
25,uam_st_25_fa,11,uam_st_11_fa,89944.63308099592,1200.0
25,uam_st_25_fa,34,uam_st_34_fa,57238.22777356503,1200.0
25,uam_st_25_fa,6,uam_st_6_fa,74976.2692681237,1200.0
25,uam_st_25_fa,53,uam_st_53_fa,92845.76525638196,1200.0
25,uam_st_25_fa,8,uam_st_8_fa,62593.793191332836,1200.0
25,uam_st_25_fa,32,uam_st_32_fa,42591.667246165096,1200.0
25,uam_st_25_fa,26,uam_st_26_fa,22565.844745877854,1200.0
25,uam_st_25_fa,57,uam_st_57_fa,110634.65967571324,1200.0
25,uam_st_25_fa,47,uam_st_47_fa,38513.082808376865,1200.0
25,uam_st_25_fa,22,uam_st_22_fa,38399.70963040623,1200.0
25,uam_st_25_fa,16,uam_st_16_fa,50318.23445703175,1200.0
25,uam_st_25_fa,37,uam_st_37_fa,87397.7500921681,1200.0
25,uam_st_25_fa,68,uam_st_68_fa,99362.03742226648,1200.0
25,uam_st_25_fa,43,uam_st_43_fa,55469.71199188607,1200.0
25,uam_st_25_fa,64,uam_st_64_fa,68950.43893364379,1200.0
25,uam_st_25_fa,71,uam_st_71_fa,107553.83870945004,1200.0
25,uam_st_25_fa,3,uam_st_3_fa,62062.03193395678,1200.0
25,uam_st_25_fa,12,uam_st_12_fa,90031.16409577348,1200.0
25,uam_st_25_fa,33,uam_st_33_fa,16115.878457785479,1200.0
25,uam_st_25_fa,27,uam_st_27_fa,16871.747864507975,1200.0
25,uam_st_25_fa,52,uam_st_52_fa,79169.01079653803,1200.0
25,uam_st_25_fa,7,uam_st_7_fa,72306.31655618257,1200.0
25,uam_st_25_fa,56,uam_st_56_fa,108459.06887767623,1200.0
25,uam_st_25_fa,23,uam_st_23_fa,31467.021477117985,1200.0
25,uam_st_25_fa,65,uam_st_65_fa,84946.19791558171,1200.0
25,uam_st_25_fa,17,uam_st_17_fa,66012.73707758305,1200.0
25,uam_st_25_fa,42,uam_st_42_fa,70683.07799583946,1200.0
25,uam_st_25_fa,36,uam_st_36_fa,44162.876186576825,1200.0
25,uam_st_25_fa,61,uam_st_61_fa,81213.06896869624,1200.0
25,uam_st_25_fa,0,uam_st_0_fa,69695.05340278891,1200.0
25,uam_st_25_fa,46,uam_st_46_fa,41338.078824431395,1200.0
25,uam_st_25_fa,4,uam_st_4_fa,66274.33421526026,1200.0
25,uam_st_25_fa,69,uam_st_69_fa,97128.56970827052,1200.0
25,uam_st_25_fa,13,uam_st_13_fa,88242.55382683789,1200.0
25,uam_st_25_fa,28,uam_st_28_fa,32130.48467545556,1200.0
25,uam_st_25_fa,30,uam_st_30_fa,23397.86225018672,1200.0
25,uam_st_25_fa,49,uam_st_49_fa,54270.24697496402,1200.0
25,uam_st_25_fa,51,uam_st_51_fa,80271.51289783484,1200.0
25,uam_st_25_fa,55,uam_st_55_fa,92040.03191630368,1200.0
25,uam_st_25_fa,72,uam_st_72_fa,63660.78035160902,1200.0
